=== NYAM NYAM VERIFICATION START ===
Using collection: raw_data
Found 798 rows for testing.
Running Flow 1 for Nyam Nyam rows...

--- Flow 1 completed. Checking single_stock_data ---
Found 798 master lines in Flow 1 output.
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM FANTASY STICK 22.5 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM RICE CRISPY 22 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM STICKS CHOCO BANANA 25G | UPC: 8994755020357 | MERGED_COUNT: 1
